POP_2010,ID_MUN_RES,MUNICIPIO
7764,410010,Abatiá
6376,410020,Adrianópolis
8270,410030,Agudos do Sul
103204,410040,Almirante Tamandaré
4306,410045,Altamira do Paraná
3206,412862,Alto Paraíso
13663,410060,Alto Paraná
10179,410070,Alto Piquiri
20516,410050,Altônia
10283,410080,Alvorada do Sul
5443,410090,Amaporã
17308,410100,Ampére
2874,410105,Anahy
20610,410110,Andirá
2859,410115,Ângulo
18891,410120,Antonina
7351,410130,Antônio Olinto
120919,410140,Apucarana
104150,410150,Arapongas
25855,410160,Arapoti
3561,410165,Arapuã
13419,410170,Araruna
119123,410180,Araucária
2453,410185,Ariranha do Ivaí
16354,410190,Assaí
33025,410200,Assis Chateaubriand
24698,410210,Astorga
3913,410220,Atalaia
11300,410230,Balsa Nova
32184,410240,Bandeirantes
12656,410250,Barbosa Ferraz
2727,410270,Barra do Jacaré
9735,410260,Barracão
3945,410275,Bela Vista da Caroba
15079,410280,Bela Vista do Paraíso
15880,410290,Bituruna
4568,410300,Boa Esperança
2764,410302,Boa Esperança do Iguaçu
6554,410304,Boa Ventura de São Roque
7911,410305,Boa Vista da Aparecida
10987,410310,Bocaiúva do Sul
3796,410315,Bom Jesus do Sul
6561,410320,Bom Sucesso
3293,410322,Bom Sucesso do Sul
7878,410330,Borrazópolis
5735,410335,Braganey
3209,410337,Brasilândia do Sul
2695,410340,Cafeara
14662,410345,Cafelândia
4290,410347,Cafezal do Sul
8069,410350,Califórnia
23886,410360,Cambará
96733,410370,Cambé
7236,410380,Cambira
15394,410390,Campina da Lagoa
4076,410395,Campina do Simão
38769,410400,Campina Grande do Sul
4407,410405,Campo Bonito
7125,410410,Campo do Tenente
112377,410420,Campo Largo
24843,410425,Campo Magro
87194,410430,Campo Mourão
16655,410440,Cândido de Abreu
14983,410442,Candói
12952,410445,Cantagalo
18526,410450,Capanema
14970,410460,Capitão Leônidas Marques
19163,410465,Carambeí
13706,410470,Carlópolis
286205,410480,Cascavel
67084,410490,Castro
10202,410500,Catanduvas
11190,410510,Centenário do Sul
16938,410520,Cerro Azul
11032,410530,Céu Azul
19679,410540,Chopinzinho
69958,410550,Cianorte
11062,410560,Cidade Gaúcha
17240,410570,Clevelândia
212967,410580,Colombo
22345,410590,Colorado
8279,410600,Congonhinhas
3636,410610,Conselheiro Mairinck
15891,410620,Contenda
16312,410630,Corbélia
46928,410640,Cornélio Procópio
7238,410645,Coronel Domingos Soares
21749,410650,Coronel Vivida
4002,410655,Corumbataí do Sul
18040,410680,Cruz Machado
4278,410657,Cruzeiro do Iguaçu
20416,410660,Cruzeiro do Oeste
4563,410670,Cruzeiro do Sul
3162,410685,Cruzmaltina
1751907,410690,Curitiba
13923,410700,Curiúva
5027,410715,Diamante D'Oeste
5516,410710,Diamante do Norte
3510,410712,Diamante do Sul
36179,410720,Dois Vizinhos
7445,410725,Douradina
5828,410730,Doutor Camargo
5727,412863,Doutor Ulysses
6103,410740,Enéas Marques
13906,410750,Engenheiro Beltrão
3926,410753,Entre Rios do Oeste
1970,410752,Esperança Nova
4677,410754,Espigão Alto do Iguaçu
3472,410755,Farol
16314,410760,Faxinal
81675,410765,Fazenda Rio Grande
4802,410770,Fênix
5932,410773,Fernandes Pinheiro
8293,410775,Figueira
4726,410785,Flor da Serra do Sul
5050,410780,Floraí
5931,410790,Floresta
11222,410800,Florestópolis
2543,410810,Flórida
7541,410820,Formosa do Oeste
256088,410830,Foz do Iguaçu
5420,410845,Foz do Jordão
6418,410832,Francisco Alves
78943,410840,Francisco Beltrão
13669,410850,General Carneiro
3337,410855,Godoy Moreira
29018,410860,Goioerê
7503,410865,Goioxim
6625,410870,Grandes Rios
30704,410880,Guaíra
6197,410890,Guairaçá
7900,410895,Guamiranga
3891,410900,Guapirama
2219,410910,Guaporema
5227,410920,Guaraci
14582,410930,Guaraniaçu
167328,410940,Guarapuava
7871,410950,Guaraqueçaba
32095,410960,Guaratuba
5955,410965,Honório Serpa
28751,410970,Ibaiti
6066,410975,Ibema
48198,410980,Ibiporã
8839,410990,Icaraíma
3982,411000,Iguaraçu
2234,411005,Iguatu
11274,411007,Imbaú
28455,411010,Imbituva
10943,411020,Inácio Martins
2988,411030,Inajá
4299,411040,Indianópolis
14150,411050,Ipiranga
14981,411060,Iporã
2578,411065,Iracema do Oeste
56207,411070,Irati
10622,411080,Iretama
4568,411090,Itaguajé
9026,411095,Itaipulândia
6759,411100,Itambaracá
5979,411110,Itambé
10531,411120,Itapejara d'Oeste
23887,411125,Itaperuçu
3583,411130,Itaúna do Sul
12815,411140,Ivaí
31816,411150,Ivaiporã
7514,411155,Ivaté
