 População Residente - Paraná
População residente por Município e Ano
Período:2010
"Município";"2010";"Total"
"410010 Abatiá";7764;7764
"410020 Adrianópolis";6376;6376
"410030 Agudos do Sul";8270;8270
"410040 Almirante Tamandaré";103204;103204
"410045 Altamira do Paraná";4306;4306
"412862 Alto Paraíso";3206;3206
"410060 Alto Paraná";13663;13663
"410070 Alto Piquiri";10179;10179
"410050 Altônia";20516;20516
"410080 Alvorada do Sul";10283;10283
"410090 Amaporã";5443;5443
"410100 Ampére";17308;17308
"410105 Anahy";2874;2874
"410110 Andirá";20610;20610
"410115 Ângulo";2859;2859
"410120 Antonina";18891;18891
"410130 Antônio Olinto";7351;7351
"410140 Apucarana";120919;120919
"410150 Arapongas";104150;104150
"410160 Arapoti";25855;25855
"410165 Arapuã";3561;3561
"410170 Araruna";13419;13419
"410180 Araucária";119123;119123
"410185 Ariranha do Ivaí";2453;2453
"410190 Assaí";16354;16354
"410200 Assis Chateaubriand";33025;33025
"410210 Astorga";24698;24698
"410220 Atalaia";3913;3913
"410230 Balsa Nova";11300;11300
"410240 Bandeirantes";32184;32184
"410250 Barbosa Ferraz";12656;12656
"410270 Barra do Jacaré";2727;2727
"410260 Barracão";9735;9735
"410275 Bela Vista da Caroba";3945;3945
"410280 Bela Vista do Paraíso";15079;15079
"410290 Bituruna";15880;15880
"410300 Boa Esperança";4568;4568
"410302 Boa Esperança do Iguaçu";2764;2764
"410304 Boa Ventura de São Roque";6554;6554
"410305 Boa Vista da Aparecida";7911;7911
"410310 Bocaiúva do Sul";10987;10987
"410315 Bom Jesus do Sul";3796;3796
"410320 Bom Sucesso";6561;6561
"410322 Bom Sucesso do Sul";3293;3293
"410330 Borrazópolis";7878;7878
"410335 Braganey";5735;5735
"410337 Brasilândia do Sul";3209;3209
"410340 Cafeara";2695;2695
"410345 Cafelândia";14662;14662
"410347 Cafezal do Sul";4290;4290
"410350 Califórnia";8069;8069
"410360 Cambará";23886;23886
"410370 Cambé";96733;96733
"410380 Cambira";7236;7236
"410390 Campina da Lagoa";15394;15394
"410395 Campina do Simão";4076;4076
"410400 Campina Grande do Sul";38769;38769
"410405 Campo Bonito";4407;4407
"410410 Campo do Tenente";7125;7125
"410420 Campo Largo";112377;112377
"410425 Campo Magro";24843;24843
"410430 Campo Mourão";87194;87194
"410440 Cândido de Abreu";16655;16655
"410442 Candói";14983;14983
"410445 Cantagalo";12952;12952
"410450 Capanema";18526;18526
"410460 Capitão Leônidas Marques";14970;14970
"410465 Carambeí";19163;19163
"410470 Carlópolis";13706;13706
"410480 Cascavel";286205;286205
"410490 Castro";67084;67084
"410500 Catanduvas";10202;10202
"410510 Centenário do Sul";11190;11190
"410520 Cerro Azul";16938;16938
"410530 Céu Azul";11032;11032
"410540 Chopinzinho";19679;19679
"410550 Cianorte";69958;69958
"410560 Cidade Gaúcha";11062;11062
"410570 Clevelândia";17240;17240
"410580 Colombo";212967;212967
"410590 Colorado";22345;22345
"410600 Congonhinhas";8279;8279
"410610 Conselheiro Mairinck";3636;3636
